index,price,condo_fee,bedrooms,bathrooms,vacancies,floor,construction_year,total_area_m2,price_per_area,street_address,street_number,neighborhood,zip_code,city,state,country,address,description,url,link,latitude,longitude,advertizer
18,1196000,1200,2,2,1,0,1970.0,124,9645.161290322581,Rua dos Pinheiros,1474,Pinheiros,05422002,São Paulo,SP,BR,"Rua dos Pinheiros 1474, Pinheiros, 05422002, São Paulo, SP, BR","Rua dos Pinheiros 1474, Pinheiros",https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-pinheiros-zona-oeste-sao-paulo-sp-124m2-id-2655863180/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-pinheiros-zona-oeste-sao-paulo-sp-124m2-id-2655863180/"">Rua dos Pinheiros 1474, Pinheiros</a>",-23.567848,-46.691908,IMOBILIÁRIA PRIME BROKERS
20,990000,1351,3,2,1,1,1970.0,111,8918.918918918918,Rua Teodoro Sampaio,1704,Pinheiros,05406100,São Paulo,SP,BR,"Rua Teodoro Sampaio 1704, Pinheiros, 05406100, São Paulo, SP, BR","Apartamento com 111 m², living para 2 ambientes, 3 quartos (1 suíte), cozinha aberta e 1 vaga",https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-111m2-id-2644286678/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-111m2-id-2644286678/"">Apartamento com 111 m², living para 2 ambientes, 3 quartos (1 suíte), cozinha aberta e 1 vaga</a>",-23.562206,-46.685411,THE REMAX COLLECTION IMOBI
21,530000,0,2,2,2,0,2015.0,120,4416.666666666667,Rua Eugênio de Medeiros,333,Pinheiros,05425000,São Paulo,SP,BR,"Rua Eugênio de Medeiros 333, Pinheiros, 05425000, São Paulo, SP, BR",Apartamento para venda possui 120 metros quadrados com 2 quartos em Pinheiros - São Paulo - SP,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-churrasqueira-pinheiros-zona-oeste-sao-paulo-sp-120m2-id-2655989661/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-churrasqueira-pinheiros-zona-oeste-sao-paulo-sp-120m2-id-2655989661/"">Apartamento para venda possui 120 metros quadrados com 2 quartos em Pinheiros - São Paulo - SP</a>",-23.568271,-46.700533,Lucas D. Bezerra
22,1150000,1600,3,2,1,13,1976.0,102,11274.509803921568,Rua Henrique Monteiro,167,Pinheiros,05423020,São Paulo,SP,BR,"Rua Henrique Monteiro 167, Pinheiros, 05423020, São Paulo, SP, BR","Amplo Apartamento de 102 m² em Pinheiros: Conforto, Localização Privilegiada e Comodidades Incríveis",https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-playground-pinheiros-zona-oeste-sao-paulo-sp-102m2-id-2632487589/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-playground-pinheiros-zona-oeste-sao-paulo-sp-102m2-id-2632487589/"">Amplo Apartamento de 102 m² em Pinheiros: Conforto, Localização Privilegiada e Comodidades Incríveis</a>",-23.569848,-46.690059,DIVALDO FIRMINO
23,959000,524,3,3,0,0,-1.0,124,7733.870967741936,Rua Inácio Pereira da Rocha,80,Sumaré,05432010,São Paulo,SP,BR,"Rua Inácio Pereira da Rocha 80, Sumaré, 05432010, São Paulo, SP, BR","Apartamento em Pinheiros com 127m², 3 quartos bem amplos.",https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-sumare-zona-oeste-sao-paulo-sp-124m2-id-2563725589/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-sumare-zona-oeste-sao-paulo-sp-124m2-id-2563725589/"">Apartamento em Pinheiros com 127m², 3 quartos bem amplos.</a>",-23.558929,-46.687855,PMENDONÇA IMÓVEIS
24,1100000,0,3,2,2,0,2000.0,100,11000.0,Travessa Alberto Campos,32,Pinheiros,05429080,São Paulo,SP,BR,"Travessa Alberto Campos 32, Pinheiros, 05429080, São Paulo, SP, BR",Apartamento para venda tem 100 metros quadrados com 3 quartos em Pinheiros - São Paulo - SP,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-100m2-id-2651377011/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-100m2-id-2651377011/"">Apartamento para venda tem 100 metros quadrados com 3 quartos em Pinheiros - São Paulo - SP</a>",-23.563964,-46.698652,Kayan Cotrim barba
25,898000,1300,2,3,1,9,1970.0,126,7126.984126984127,Rua Henrique Schaumann,398,Pinheiros,05413010,São Paulo,SP,BR,"Rua Henrique Schaumann 398, Pinheiros, 05413010, São Paulo, SP, BR",Apartamento com 124m2 e 1 vaga - Oportunidade na Henrique Schaumann,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-pinheiros-zona-oeste-sao-paulo-sp-126m2-id-2636858012/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-pinheiros-zona-oeste-sao-paulo-sp-126m2-id-2636858012/"">Apartamento com 124m2 e 1 vaga - Oportunidade na Henrique Schaumann</a>",-23.561309,-46.679665,LUIZ GUSTAVO MARTINS ALVES DE OLIVEIRA
28,1199000,0,4,5,1,0,-1.0,100,11990.0,Rua Fradique Coutinho,484,Pinheiros,05416000,São Paulo,SP,BR,"Rua Fradique Coutinho 484, Pinheiros, 05416000, São Paulo, SP, BR",PFC 484 Apto 26969,https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-pinheiros-zona-oeste-sao-paulo-sp-100m2-id-2656577405/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-pinheiros-zona-oeste-sao-paulo-sp-100m2-id-2656577405/"">PFC 484 Apto 26969</a>",-23.562518,-46.686702,Renato Calicchio
30,1199970,1680,3,2,1,0,-1.0,102,11764.411764705883,Rua Henrique Monteiro,167,Pinheiros,05423020,São Paulo,SP,BR,"Rua Henrique Monteiro 167, Pinheiros, 05423020, São Paulo, SP, BR",Apartamento Venda Pinheiros 102 m² 3 Dormitórios,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-salao-de-festas-pinheiros-zona-oeste-sao-paulo-sp-102m2-id-2656518155/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-salao-de-festas-pinheiros-zona-oeste-sao-paulo-sp-102m2-id-2656518155/"">Apartamento Venda Pinheiros 102 m² 3 Dormitórios</a>",-23.569848,-46.690059,Olimpia House
31,1199970,1600,3,3,1,0,-1.0,140,8571.214285714286,Rua Henrique Schaumann,136,Pinheiros,05413010,São Paulo,SP,BR,"Rua Henrique Schaumann 136, Pinheiros, 05413010, São Paulo, SP, BR",Venda Apartamento 3 Dormitórios - 140 m² Pinheiros,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-salao-de-festas-pinheiros-zona-oeste-sao-paulo-sp-140m2-id-2653641763/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-salao-de-festas-pinheiros-zona-oeste-sao-paulo-sp-140m2-id-2653641763/"">Venda Apartamento 3 Dormitórios - 140 m² Pinheiros</a>",-23.563235,-46.678452,OLIMPIA HOUSE LTDA
34,989660,1,3,2,2,0,2023.0,105,9425.333333333334,Rua Artur de Azevedo,100,Pinheiros,05404014,São Paulo,SP,BR,"Rua Artur de Azevedo 100, Pinheiros, 05404014, São Paulo, SP, BR",Apartamento em Rua Artur de Azevedo - Pinheiros - São Paulo/SP,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-105m2-id-2647296575/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-105m2-id-2647296575/"">Apartamento em Rua Artur de Azevedo - Pinheiros - São Paulo/SP</a>",-23.557858,-46.673762,USUÁRIO NEWCORE
35,1200000,1,3,3,2,9,1970.0,139,8633.093525179856,Rua Teodoro Sampaio,,Pinheiros,05406100,São Paulo,SP,BR,"Rua Teodoro Sampaio , Pinheiros, 05406100, São Paulo, SP, BR",Apartamento para venda tem 139 metros quadrados com 3 quartos em Pinheiros São Paulo SP,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-139m2-id-2649568450/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-139m2-id-2649568450/"">Apartamento para venda tem 139 metros quadrados com 3 quartos em Pinheiros São Paulo SP</a>",,,Onlinnegk 10
36,1200000,2663,3,4,2,2,1992.0,100,12000.0,Rua João Moura,,Vila Madalena,05412004,São Paulo,SP,BR,"Rua João Moura , Vila Madalena, 05412004, São Paulo, SP, BR",Apartamento para venda possui 100 metros quadrados com 3 quartos em Pinheiros - São Paulo - SP,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-vila-madalena-zona-oeste-sao-paulo-sp-100m2-id-2647518485/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-vila-madalena-zona-oeste-sao-paulo-sp-100m2-id-2647518485/"">Apartamento para venda possui 100 metros quadrados com 3 quartos em Pinheiros - São Paulo - SP</a>",,,R.Faustino Imóveis
37,950000,1173,2,3,1,13,1973.0,102,9313.725490196079,Avenida Rebouças,1280,Pinheiros,05402000,São Paulo,SP,BR,"Avenida Rebouças 1280, Pinheiros, 05402000, São Paulo, SP, BR","Apartamento para venda tem 102 metros quadrados com 2 quartos sendo 1 suíte, 1 vaga",https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-quadra-poliesportiva-pinheiros-zona-oeste-sao-paulo-sp-102m2-id-2655743674/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-quadra-poliesportiva-pinheiros-zona-oeste-sao-paulo-sp-102m2-id-2655743674/"">Apartamento para venda tem 102 metros quadrados com 2 quartos sendo 1 suíte, 1 vaga</a>",-23.561403,-46.673949,JORGE LUÍS FRANSNELLI
38,1150000,0,3,3,1,0,-1.0,114,10087.719298245614,Rua Cônego Eugênio Leite,540,Pinheiros,05414000,São Paulo,SP,BR,"Rua Cônego Eugênio Leite 540, Pinheiros, 05414000, São Paulo, SP, BR",Apartamento para venda possui 114 metros quadrados e 3 quartos em Pinheiros - São Paulo - SP.,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-elevador-pinheiros-zona-oeste-sao-paulo-sp-114m2-id-1039288181/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-elevador-pinheiros-zona-oeste-sao-paulo-sp-114m2-id-1039288181/"">Apartamento para venda possui 114 metros quadrados e 3 quartos em Pinheiros - São Paulo - SP.</a>",-23.56401,-46.680211,Rudner Imóveis LTDA
39,1089990,1200,3,2,1,0,-1.0,110,9909.0,Rua Alves Guimarães,623,Pinheiros,05410001,São Paulo,SP,BR,"Rua Alves Guimarães 623, Pinheiros, 05410001, São Paulo, SP, BR",Apartamento Venda Pinheiros 110 m² 3 Dormitórios,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-playground-pinheiros-zona-oeste-sao-paulo-sp-110m2-id-2654852968/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-playground-pinheiros-zona-oeste-sao-paulo-sp-110m2-id-2654852968/"">Apartamento Venda Pinheiros 110 m² 3 Dormitórios</a>",-23.557176,-46.677532,Ohi Imóveis
40,1199980,2000,3,2,1,0,-1.0,122,9835.901639344262,Rua Oscar Freire,1814,Pinheiros,05409011,São Paulo,SP,BR,"Rua Oscar Freire 1814, Pinheiros, 05409011, São Paulo, SP, BR",Venda Apartamento 3 Dormitórios - 122 m² Pinheiros,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-area-de-servico-pinheiros-zona-oeste-sao-paulo-sp-122m2-id-2656044366/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-area-de-servico-pinheiros-zona-oeste-sao-paulo-sp-122m2-id-2656044366/"">Venda Apartamento 3 Dormitórios - 122 m² Pinheiros</a>",-23.556517,-46.674544,Ohi Imóveis
41,950000,993,3,3,0,3,1985.0,137,6934.306569343065,Rua Navarro de Andrade,20,Pinheiros,05418020,São Paulo,SP,BR,"Rua Navarro de Andrade 20, Pinheiros, 05418020, São Paulo, SP, BR","APARTAMENTO RESIDENCIAL em SÃO PAULO - SP, PINHEIROS",https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-cozinha-pinheiros-zona-oeste-sao-paulo-sp-137m2-id-2655238981/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-cozinha-pinheiros-zona-oeste-sao-paulo-sp-137m2-id-2655238981/"">APARTAMENTO RESIDENCIAL em SÃO PAULO - SP, PINHEIROS</a>",-23.564072,-46.687399,Compre Bens Imóveis
42,930000,0,3,2,1,13,2023.0,100,9300.0,Rua Oscar Freire,,Pinheiros,05409010,São Paulo,SP,BR,"Rua Oscar Freire , Pinheiros, 05409010, São Paulo, SP, BR","Apartamento à venda no bairro Pinheiros, em São Paulo - SP",https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-100m2-id-2639445971/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-100m2-id-2639445971/"">Apartamento à venda no bairro Pinheiros, em São Paulo - SP</a>",,,MUNDO URBANO IMÓVEIS
43,630000,788,2,2,4,0,1975.0,117,5384.615384615385,Rua Butantã,498,Alto de Pinheiros,05424000,São Paulo,SP,BR,"Rua Butantã 498, Alto de Pinheiros, 05424000, São Paulo, SP, BR",Apartamento para venda tem 117 metros quadrados com 2 quartos em Pinheiros - São Paulo - SP,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-alto-de-pinheiros-zona-oeste-sao-paulo-sp-117m2-id-2532099509/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-alto-de-pinheiros-zona-oeste-sao-paulo-sp-117m2-id-2532099509/"">Apartamento para venda tem 117 metros quadrados com 2 quartos em Pinheiros - São Paulo - SP</a>",-23.571163,-46.699399,Elisângela Bonomelli Corretora
44,670000,574,2,2,0,0,1970.0,127,5275.5905511811025,Rua Teodoro Sampaio,2763,Pinheiros,05405250,São Paulo,SP,BR,"Rua Teodoro Sampaio 2763, Pinheiros, 05405250, São Paulo, SP, BR",APARTAMENTO 2 DORMITÓRIOS PINHEIROS,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-pinheiros-zona-oeste-sao-paulo-sp-127m2-id-2512947153/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-pinheiros-zona-oeste-sao-paulo-sp-127m2-id-2512947153/"">APARTAMENTO 2 DORMITÓRIOS PINHEIROS</a>",-23.567569,-46.693927,ZIMMERMANN IMÓVEIS
45,1064000,1934,3,3,1,0,-1.0,111,9585.585585585586,Rua Deputado Lacerda Franco,552,Pinheiros,05418000,São Paulo,SP,BR,"Rua Deputado Lacerda Franco 552, Pinheiros, 05418000, São Paulo, SP, BR",Oportunidade! Apartamento 3 DORM em Pinheiros!,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-cozinha-pinheiros-zona-oeste-sao-paulo-sp-111m2-id-2656078272/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-cozinha-pinheiros-zona-oeste-sao-paulo-sp-111m2-id-2656078272/"">Oportunidade! Apartamento 3 DORM em Pinheiros!</a>",-23.560517,-46.69221,Royal Select
46,1150000,1351,3,2,1,5,1970.0,113,10176.991150442478,Rua Teodoro Sampaio,1704,Pinheiros,05406100,São Paulo,SP,BR,"Rua Teodoro Sampaio 1704, Pinheiros, 05406100, São Paulo, SP, BR","Ótimo apartamento com 113 m² com living para 2 ambientes, 3 quartos (sendo 1 suíte) e 1 vaga",https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-113m2-id-2644394481/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-113m2-id-2644394481/"">Ótimo apartamento com 113 m² com living para 2 ambientes, 3 quartos (sendo 1 suíte) e 1 vaga</a>",-23.562206,-46.685411,THE REMAX COLLECTION IMOBI
47,990000,0,3,2,1,0,1974.0,141,7021.276595744681,Rua Henrique Schaumann,136,Pinheiros,05413010,São Paulo,SP,BR,"Rua Henrique Schaumann 136, Pinheiros, 05413010, São Paulo, SP, BR","Apartamento Pinheiros, 3 Quartos, 3 Suite, 1 Vagas",https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-141m2-id-2638887753/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-141m2-id-2638887753/"">Apartamento Pinheiros, 3 Quartos, 3 Suite, 1 Vagas</a>",-23.563235,-46.678452,Alberto H. Yoshida
48,1100000,1400,3,2,1,0,1973.0,107,10280.373831775702,Rua Oscar Freire,1549,Pinheiros,05409010,São Paulo,SP,BR,"Rua Oscar Freire 1549, Pinheiros, 05409010, São Paulo, SP, BR","Apartamento à venda no bairro Pinheiros - São Paulo/SP, Zona Oeste",https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-armario-embutido-pinheiros-zona-oeste-sao-paulo-sp-107m2-id-2647014265/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-armario-embutido-pinheiros-zona-oeste-sao-paulo-sp-107m2-id-2647014265/"">Apartamento à venda no bairro Pinheiros - São Paulo/SP, Zona Oeste</a>",-23.558739,-46.673484,Ganzaroli Imóveis
49,2500,1307,3,3,2,0,1984.0,110,22.727272727272727,Rua João Moura,,Pinheiros,05412001,São Paulo,SP,BR,"Rua João Moura , Pinheiros, 05412001, São Paulo, SP, BR",Aparatamento para venda e locação - 110m² - 2 dormitórios (1 suíte) - 2 vagas em Pinheiros,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-interfone-pinheiros-zona-oeste-sao-paulo-sp-110m2-id-2655262656/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-interfone-pinheiros-zona-oeste-sao-paulo-sp-110m2-id-2655262656/"">Aparatamento para venda e locação - 110m² - 2 dormitórios (1 suíte) - 2 vagas em Pinheiros</a>",,,J.H.I. IMOVEIS E CONSULTORIA LTDA - EPP
51,1200000,1200,3,2,2,1,-1.0,110,10909.09090909091,Rua Francisco Leitão,381,Pinheiros,05414020,São Paulo,SP,BR,"Rua Francisco Leitão 381, Pinheiros, 05414020, São Paulo, SP, BR",PINHEIROS Edifício Caiena,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-churrasqueira-pinheiros-zona-oeste-sao-paulo-sp-110m2-id-2507001171/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-churrasqueira-pinheiros-zona-oeste-sao-paulo-sp-110m2-id-2507001171/"">PINHEIROS Edifício Caiena</a>",-23.561415,-46.681181,Neide Baptista Corretora
52,1200000,660,2,1,1,0,-1.0,130,9230.76923076923,Avenida Rebouças,1164,Pinheiros,05402000,São Paulo,SP,BR,"Avenida Rebouças 1164, Pinheiros, 05402000, São Paulo, SP, BR",SãO PAULO - Apartamento Padrão - Pinheiros,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-sala-de-jantar-pinheiros-zona-oeste-sao-paulo-sp-130m2-id-2484588497/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-sala-de-jantar-pinheiros-zona-oeste-sao-paulo-sp-130m2-id-2484588497/"">SãO PAULO - Apartamento Padrão - Pinheiros</a>",-23.560703,-46.673096,KHONDO
