;price;condo_fee;bedrooms;bathrooms;vacancies;floor;construction_year;total_area_m2;price_per_area;street_address;street_number;address;description;url;link;latitude;longitude;advertizer
39;630000;788;2;2;4;0;1975.0;117;5384.615384615385;Rua Butantã;498;Rua Butantã 498, Alto de Pinheiros, 05424000, São Paulo, SP, BR;Apartamento para venda tem 117 metros quadrados com 2 quartos em Pinheiros - São Paulo - SP;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-alto-de-pinheiros-zona-oeste-sao-paulo-sp-117m2-id-2532099509/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-alto-de-pinheiros-zona-oeste-sao-paulo-sp-117m2-id-2532099509/"">Apartamento para venda tem 117 metros quadrados com 2 quartos em Pinheiros - São Paulo - SP</a>";-23.571163;-46.699399;Elisângela Bonomelli Corretora
59;750000;0;3;2;3;0;2000.0;200;3750.0;Rua Penalva;1212;Rua Penalva 1212, Pinheiros, 05412040, São Paulo, SP, BR;Casa para venda tem 200 metros quadrados com 3 quartos em Pinheiros - São Paulo - SP;https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-200m2-id-2655314438/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-200m2-id-2655314438/"">Casa para venda tem 200 metros quadrados com 3 quartos em Pinheiros - São Paulo - SP</a>";-23.55008;-46.684371;Quadrado Imóveis
72;680000;0;2;2;3;0;-1.0;168;4047.6190476190477;Travessa Alberto Campos;68;Travessa Alberto Campos 68, Pinheiros, 05429080, São Paulo, SP, BR;Casa para venda tem 168 metros quadrados com 2 quartos em Pinheiros - São Paulo ..;https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-pinheiros-zona-oeste-sao-paulo-sp-168m2-id-2651165356/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-pinheiros-zona-oeste-sao-paulo-sp-168m2-id-2651165356/"">Casa para venda tem 168 metros quadrados com 2 quartos em Pinheiros - São Paulo ..</a>";-23.563939;-46.698652;Kayan Cotrim barba
75;670000;8000;3;2;1;0;;105;6380.952380952381;Avenida Doutora Ruth Cardoso;8341;Avenida Doutora Ruth Cardoso 8341, Pinheiros, 05425070, São Paulo, SP, BR;Apartamento para venda tem 105 metros quadrados com 3 quartos em Pinheiros - São Paulo - SP;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-105m2-id-2508668778/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-105m2-id-2508668778/"">Apartamento para venda tem 105 metros quadrados com 3 quartos em Pinheiros - São Paulo - SP</a>";-23.572778;-46.698475;SARTOR SERVICOS DE PREPARACAO DE DOCUMENTOS LTDA - ME
81;680000;574;2;2;0;5;-1.0;126;5396.825396825397;Rua Teodoro Sampaio;;Rua Teodoro Sampaio , Pinheiros, 05406000, São Paulo, SP, BR;Apartamento à Venda em Pinheiros - São Paulo;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-elevador-pinheiros-zona-oeste-sao-paulo-sp-126m2-id-2611873644/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-elevador-pinheiros-zona-oeste-sao-paulo-sp-126m2-id-2611873644/"">Apartamento à Venda em Pinheiros - São Paulo</a>";;;MaxxCasa
83;650000;700;2;2;0;2;1975.0;110;5909.090909090909;Rua Butantã;;Rua Butantã , Pinheiros, 05424000, São Paulo, SP, BR;Apartamento à venda, 110 m² por R$ 650.000 - Pinheiros - São Paulo/SP;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-cozinha-pinheiros-zona-oeste-sao-paulo-sp-110m2-id-2567789096/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-cozinha-pinheiros-zona-oeste-sao-paulo-sp-110m2-id-2567789096/"">Apartamento à venda, 110 m² por R$ 650.000 - Pinheiros - São Paulo/SP</a>";;;Del Negro Imóveis - Granja Viana, Jaguaré e Região
94;685000;490;2;3;0;0;-1.0;110;6227.272727272727;Rua Butantã;498;Rua Butantã 498, Pinheiros, 05424000, São Paulo, SP, BR;Apartamento em Pinheiros com 2 dormitórios;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-cozinha-pinheiros-zona-oeste-sao-paulo-sp-110m2-id-2615849562/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-cozinha-pinheiros-zona-oeste-sao-paulo-sp-110m2-id-2615849562/"">Apartamento em Pinheiros com 2 dormitórios</a>";-23.571163;-46.699399;Sh Prime Imóveis
96;650000;400;4;3;2;4;1967.0;150;4333.333333333333;Rua Cardeal Arcoverde;;Rua Cardeal Arcoverde , Pinheiros, 05408002, São Paulo, SP, BR;Apartamento à venda em Pinheiros com 150 m², 4 quartos, 2 vagas;https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-pinheiros-zona-oeste-sao-paulo-sp-150m2-id-2656285206/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-pinheiros-zona-oeste-sao-paulo-sp-150m2-id-2656285206/"">Apartamento à venda em Pinheiros com 150 m², 4 quartos, 2 vagas</a>";;;RI Negócios Imobiliários
141;580000;947;2;1;4;3;2000.0;117;4957.264957264957;Rua Butantã;498;Rua Butantã 498, Pinheiros, 05424000, São Paulo, SP, BR;Apartamento com 2 dormitórios à venda, 117 m² - Pinheiros - São Paulo/SP;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-cozinha-pinheiros-zona-oeste-sao-paulo-sp-117m2-id-2653096857/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-cozinha-pinheiros-zona-oeste-sao-paulo-sp-117m2-id-2653096857/"">Apartamento com 2 dormitórios à venda, 117 m² - Pinheiros - São Paulo/SP</a>";-23.571163;-46.699399;2AP Imóveis
157;650000;400;4;3;2;0;1967.0;150;4333.333333333333;Rua Cardeal Arcoverde;2222;Rua Cardeal Arcoverde 2222, Pinheiros, 05408002, São Paulo, SP, BR;SãO PAULO - Apartamento Padrão - Pinheiros;https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-varanda-pinheiros-zona-oeste-sao-paulo-sp-150m2-id-2641058093/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-varanda-pinheiros-zona-oeste-sao-paulo-sp-150m2-id-2641058093/"">SãO PAULO - Apartamento Padrão - Pinheiros</a>";-23.563579;-46.691607;Neon Imóveis - Agência SP
173;889000;1700;3;3;1;0;-1.0;143;6216.783216783217;Avenida Rebouças;.;Avenida Rebouças ., Pinheiros, 05402600, São Paulo, SP, BR;**** OPORTUNIDADE - PREÇO DE OCASIÃO - VALOR ABAIXO DA AVALIAÇÃO ****;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-area-de-lazer-pinheiros-zona-oeste-sao-paulo-sp-143m2-id-2648479366/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-area-de-lazer-pinheiros-zona-oeste-sao-paulo-sp-143m2-id-2648479366/"">**** OPORTUNIDADE - PREÇO DE OCASIÃO - VALOR ABAIXO DA AVALIAÇÃO ****</a>";-23.568118;-46.685052;Gold Negócios Imobiliários
197;650000;420;2;2;0;0;-1.0;110;5909.090909090909;Rua Cardeal Arcoverde;834;Rua Cardeal Arcoverde 834, Pinheiros, 05407001, São Paulo, SP, BR;Apartamento para venda possui 110 metros quadrados com 2 quartos em Pinheiros - São Paulo - SP;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-jardim-pinheiros-zona-oeste-sao-paulo-sp-110m2-id-2579163709/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-jardim-pinheiros-zona-oeste-sao-paulo-sp-110m2-id-2579163709/"">Apartamento para venda possui 110 metros quadrados com 2 quartos em Pinheiros - São Paulo - SP</a>";-23.556925;-46.680748;Diego Americo Gallo Cipoli
204;750000;1550;3;2;1;0;-1.0;118;6355.932203389831;Avenida Pedroso de Morais;57;Avenida Pedroso de Morais 57, Pinheiros, 05419000, São Paulo, SP, BR;3 dormitórios, amplo , 2 banheiros, 1 vaga em Pinheiros, super oportunidade! - AP261;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-118m2-id-2642156029/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-118m2-id-2642156029/"">3 dormitórios, amplo , 2 banheiros, 1 vaga em Pinheiros, super oportunidade! - AP261</a>";-23.569019;-46.688011;Sampa House
215;1080000;0;3;2;2;0;-1.0;180;6000.0;;; , Pinheiros, 05416002, São Paulo, SP, BR;VILA MADALENA, PONTO ESTRATÉGICO;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-180m2-id-52047807/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-180m2-id-52047807/"">VILA MADALENA, PONTO ESTRATÉGICO</a>";;;Franquia Imóveis Perdizes
218;685000;490;2;2;0;0;1961.0;110;6227.272727272727;Rua Butantã;498;Rua Butantã 498, Pinheiros, 05424000, São Paulo, SP, BR;SãO PAULO - Apartamento Padrão - Pinheiros;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-pinheiros-zona-oeste-sao-paulo-sp-110m2-id-2641067284/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-pinheiros-zona-oeste-sao-paulo-sp-110m2-id-2641067284/"">SãO PAULO - Apartamento Padrão - Pinheiros</a>";-23.571163;-46.699399;Neon Imóveis - Agência SP
222;950000;1670;3;1;1;0;1962.0;160;5937.5;Rua João Moura;;Rua João Moura , Pinheiros, 05412001, São Paulo, SP, BR;Apartamento a venda em Pinheiros, 3 dorms., 1 vaga - Excelente planta;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-armario-embutido-pinheiros-zona-oeste-sao-paulo-sp-160m2-id-2643528381/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-armario-embutido-pinheiros-zona-oeste-sao-paulo-sp-160m2-id-2643528381/"">Apartamento a venda em Pinheiros, 3 dorms., 1 vaga - Excelente planta</a>";;;Crédito Real | M Baroni Prime
244;670000;578;3;2;0;0;1970.0;123;5447.154471544715;Rua Teodoro Sampaio;2763;Rua Teodoro Sampaio 2763, Pinheiros, 05405250, São Paulo, SP, BR;Apartamento em Pinheiros com 3 dormitórios;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-123m2-id-2615841701/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-123m2-id-2615841701/"">Apartamento em Pinheiros com 3 dormitórios</a>";-23.567569;-46.693927;Sh Prime Imóveis
254;650000;400;4;3;2;0;-1.0;150;4333.333333333333;Rua Cardeal Arcoverde;;Rua Cardeal Arcoverde , Pinheiros, 05408000, São Paulo, SP, BR;Apartamento à venda no bairro Pinheiros - São Paulo/SP, Zona Oeste;https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-cozinha-pinheiros-zona-oeste-sao-paulo-sp-150m2-id-2632650008/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-cozinha-pinheiros-zona-oeste-sao-paulo-sp-150m2-id-2632650008/"">Apartamento à venda no bairro Pinheiros - São Paulo/SP, Zona Oeste</a>";;;Hidaka Imóveis
284;670000;574;2;2;0;0;1970.0;127;5275.5905511811025;Rua Teodoro Sampaio;2763;Rua Teodoro Sampaio 2763, Pinheiros, 05405250, São Paulo, SP, BR;APARTAMENTO 2 DORMITÓRIOS PINHEIROS;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-pinheiros-zona-oeste-sao-paulo-sp-127m2-id-2512947153/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-pinheiros-zona-oeste-sao-paulo-sp-127m2-id-2512947153/"">APARTAMENTO 2 DORMITÓRIOS PINHEIROS</a>";-23.567569;-46.693927;ZIMMERMANN IMÓVEIS
294;750000;540;2;2;4;0;2000.0;117;6410.25641025641;;; , Pinheiros, 05424100, São Paulo, SP, BR;Excelente apartamento em Perdizes 117m², 2 dorms, sala p/ 2 ambientes, 2 banheiros, 1 com hidro;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-area-de-servico-pinheiros-zona-oeste-sao-paulo-sp-117m2-id-2536432620/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-area-de-servico-pinheiros-zona-oeste-sao-paulo-sp-117m2-id-2536432620/"">Excelente apartamento em Perdizes 117m², 2 dorms, sala p/ 2 ambientes, 2 banheiros, 1 com hidro</a>";;;FMI PRIME NEGOCIOS IMOBILIARIOS LTDA - ME
295;650000;400;4;3;2;0;-1.0;150;4333.333333333333;Rua Cardeal Arcoverde;;Rua Cardeal Arcoverde , Pinheiros, 05408000, São Paulo, SP, BR;Apartamento à venda no bairro Pinheiros - São Paulo/SP, Zona Oeste;https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-cozinha-pinheiros-zona-oeste-sao-paulo-sp-150m2-id-2632648945/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-cozinha-pinheiros-zona-oeste-sao-paulo-sp-150m2-id-2632648945/"">Apartamento à venda no bairro Pinheiros - São Paulo/SP, Zona Oeste</a>";;;Hidaka Imóveis
296;750000;1300;2;3;0;0;-1.0;121;6198.347107438017;Rua Oscar Freire;2185;Rua Oscar Freire 2185, Pinheiros, 05409011, São Paulo, SP, BR;APARTAMENTO RESIDENCIAL em São Paulo - SP, Pinheiros;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-pinheiros-zona-oeste-sao-paulo-sp-121m2-id-2645143407/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-pinheiros-zona-oeste-sao-paulo-sp-121m2-id-2645143407/"">APARTAMENTO RESIDENCIAL em São Paulo - SP, Pinheiros</a>";-23.55394;-46.676892;BR IMOB PROPERTIEES
337;630000;948;2;2;4;0;1975.0;117;5384.615384615385;Rua Butantã;498;Rua Butantã 498, Pinheiros, 05424000, São Paulo, SP, BR;APARTAMENTO PINHEIROS 2 DORMITÓRIOS;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-cozinha-pinheiros-zona-oeste-sao-paulo-sp-117m2-id-2587608295/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-cozinha-pinheiros-zona-oeste-sao-paulo-sp-117m2-id-2587608295/"">APARTAMENTO PINHEIROS 2 DORMITÓRIOS</a>";-23.571163;-46.699399;ZIMMERMANN IMÓVEIS
350;679990;574;2;2;0;0;-1.0;127;5354.251968503937;Rua Teodoro Sampaio;2763;Rua Teodoro Sampaio 2763, Pinheiros, 05406150, São Paulo, SP, BR;Apartamento na Faria Lima com 127m² e 2 dormitórios;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-cozinha-pinheiros-zona-oeste-sao-paulo-sp-127m2-id-2611550679/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-cozinha-pinheiros-zona-oeste-sao-paulo-sp-127m2-id-2611550679/"">Apartamento na Faria Lima com 127m² e 2 dormitórios</a>";-23.567569;-46.693927;VED IMÓVEIS
361;980000;1500;3;2;1;0;1973.0;153;6405.228758169935;Avenida Pedroso de Morais;57;Avenida Pedroso de Morais 57, Pinheiros, 05419000, São Paulo, SP, BR;APARTAMENTO 3 DORMITÓRIOS EM PINHEIROS;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-153m2-id-2646333571/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-153m2-id-2646333571/"">APARTAMENTO 3 DORMITÓRIOS EM PINHEIROS</a>";-23.569019;-46.688011;ZIMMERMANN IMÓVEIS
364;1090000;0;3;3;2;0;-1.0;175;6228.571428571428;Rua Fernão Dias;146;Rua Fernão Dias 146, Pinheiros, 05427000, São Paulo, SP, BR;CASA RESIDENCIAL em SÃO PAULO - SP, PINHEIROS;https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-175m2-id-2584413965/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-175m2-id-2584413965/"">CASA RESIDENCIAL em SÃO PAULO - SP, PINHEIROS</a>";-23.562312;-46.695593;Melhores Imóveis
373;1160000;1500;3;2;1;6;-1.0;211;5497.630331753555;;; , Pinheiros, 05409011, São Paulo, SP, BR;Apartamento com 3 dormitórios à venda, 211 m² por R$ 1.160.000,00 - Pinheiros - São Paulo/SP;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-cozinha-pinheiros-zona-oeste-sao-paulo-sp-211m2-id-2534785135/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-cozinha-pinheiros-zona-oeste-sao-paulo-sp-211m2-id-2534785135/"">Apartamento com 3 dormitórios à venda, 211 m² por R$ 1.160.000,00 - Pinheiros - São Paulo/SP</a>";;;Santos Braga Imóveis
381;1007000;1400;3;3;1;0;-1.0;160;6293.75;Rua João Moura;;Rua João Moura , Pinheiros, 05412001, São Paulo, SP, BR;Apartamento pinheiros;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-160m2-id-2628240715/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-160m2-id-2628240715/"">Apartamento pinheiros</a>";;;MMG IMOVEIS LTDA
410;710000;900;3;2;1;0;1956.0;159;4465.408805031447;Avenida Pedroso de Morais;144;Avenida Pedroso de Morais 144, Pinheiros, 05420000, São Paulo, SP, BR;APARTAMENTO RESIDENCIAL em SÃO PAULO - SP, PINHEIROS;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-churrasqueira-pinheiros-zona-oeste-sao-paulo-sp-159m2-id-2654354011/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-churrasqueira-pinheiros-zona-oeste-sao-paulo-sp-159m2-id-2654354011/"">APARTAMENTO RESIDENCIAL em SÃO PAULO - SP, PINHEIROS</a>";-23.568239;-46.688097;C. Souza Consultoria Financeira
411;860000;600;3;2;0;0;1953.0;133;6466.165413533835;Rua Teodoro Sampaio;2147;Rua Teodoro Sampaio 2147, Pinheiros, 05405200, São Paulo, SP, BR;SãO PAULO - Apartamento Padrão - Pinheiros;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-133m2-id-2643541962/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-133m2-id-2643541962/"">SãO PAULO - Apartamento Padrão - Pinheiros</a>";-23.56452;-46.688918;Neon Imóveis - Agência SP
425;575000;648;2;3;0;0;-1.0;110;5227.272727272727;Rua Butantã;498;Rua Butantã 498, Pinheiros, 05424000, São Paulo, SP, BR;APARTAMENTO RESIDENCIAL em SÃO PAULO - SP, PINHEIROS;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-cozinha-pinheiros-zona-oeste-sao-paulo-sp-110m2-id-2550893239/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-cozinha-pinheiros-zona-oeste-sao-paulo-sp-110m2-id-2550893239/"">APARTAMENTO RESIDENCIAL em SÃO PAULO - SP, PINHEIROS</a>";-23.571163;-46.699399;Melhores Imóveis
